фамилия,имя,отчество,телефон,описание;
иванов,иван,иванович,8-3822-26-51-09,домашний; 
иванов,иван,иванович,8-999-999-9999,мобильный; 
петров,петр,петрович,8-888-888-8888,мобильный; 
распутин,григорий,ефимович,8-812-555-55-55,домашний; 
плят,самуил,иосифович,8-777-777-7777,мобильный; 
захаров,захар,захарович,8-666-666-6666,моб. рабочий; 
сидоров,иван,сидорович,8-555-555-5555,мобильный;
захаров,павел,васильевич,8-222-222-2222,мобильный;
петров,василий,алибабаевич,8-111-111-1111,джентельмены удачи; 
каролина,катарина,мюллер,9-333-333-3333,c. c. catch; 
иванченко,михаил,сергеевич,8-999-111-1111,рабочий; 
